Runs,Minutes,Balls_faced,4s,6s,Strike_Rate,Position,Dismissal,Innings,Opposition,Ground
117,174,117,7,2,100,3,caught,1,v Australia,Melbourne
106,131,92,11,1,115.21,3,caught,2,v Australia,Canberra
8,11,11,1,0,72.72,3,caught,2,v Australia,Sydney
85,109,81,9,1,104.93,3,not out,2,v New Zealand,Dharamsala
9,18,13,1,0,69.23,3,caught,2,v New Zealand,Delhi
154,202,134,16,1,114.92,3,not out,2,v New Zealand,Mohali
45,64,51,2,1,88.23,3,caught,2,v New Zealand,Ranchi
65,152,76,2,1,85.52,3,caught,1,v New Zealand,Visakhapatnam
122,147,105,8,5,116.19,3,caught,2,v England,Pune
8,6,5,2,0,160,3,caught,1,v England,Cuttack
55,81,63,8,0,87.3,3,caught,2,v England,Eden Gardens
81,108,68,6,3,119.11,3,not out,1,v Pakistan,Birmingham
0,5,5,0,0,0,3,caught,1,v Sri Lanka,The Oval
76,136,101,7,1,75.24,3,not out,2,v South Africa,The Oval
96,96,78,13,0,123.07,3,not out,2,v Bangladesh,Birmingham
5,11,9,0,0,55.55,3,caught,2,v Pakistan,The Oval
0,7,4,0,0,0,3,caught,1,v Australia,Chennai
92,148,107,8,0,85.98,3,bowled,1,v Australia,Eden Gardens
28,58,35,2,0,80,3,caught,2,v Australia,Indore
21,23,21,3,0,100,3,bowled,2,v Australia,Bengaluru
39,73,55,2,0,70.9,3,caught,2,v Australia,Nagpur
121,203,125,9,2,96.8,3,caught,1,v New Zealand,Wankhede
29,40,29,3,1,100,3,caught,2,v New Zealand,Pune
113,166,106,9,1,106.6,3,caught,1,v New Zealand,Kanpur
112,164,119,10,0,94.11,3,caught,2,v South Africa,Durban
46,64,50,4,1,92,3,not out,2,v South Africa,Centurion
160,220,159,12,2,100.62,3,not out,1,v South Africa,Cape Town
75,119,83,7,1,90.36,3,caught,1,v South Africa,Johannesburg
36,76,54,2,0,66.66,3,run out,1,v South Africa,Gqeberha
129,123,96,19,2,134.37,3,not out,2,v South Africa,Centurion
71,98,72,8,0,98.61,3,bowled,1,v England,Leeds
157,217,129,13,4,121.7,3,not out,1,v West Indies,Visakhapatnam
33,57,29,6,0,113.79,3,not out,2,v West Indies,Thiruvananthapuram
3,10,8,0,0,37.5,3,caught,2,v Australia,Sydney
104,150,112,5,2,92.85,3,caught,2,v Australia,Adelaide
45,59,59,3,0,76.27,3,caught,2,v New Zealand,Napier
43,59,45,5,0,95.55,3,caught,1,v New Zealand,Mount Maunganui
60,94,74,6,1,81.08,3,caught,2,v New Zealand,Mount Maunganui
18,44,34,1,0,52.94,3,caught,2,v South Africa,Southampton
82,128,77,4,2,106.49,3,caught,1,v Australia,The Oval
77,105,65,7,0,118.46,3,caught,1,v Pakistan,Manchester
67,105,63,5,0,106.34,3,caught,1,v Afghanistan,Southampton
72,146,82,8,0,87.8,3,caught,1,v West Indies,Manchester
66,103,76,7,0,86.84,3,caught,2,v England,Birmingham
26,45,27,3,0,96.29,3,caught,1,v Bangladesh,Birmingham
34,61,41,3,0,82.92,3,not out,2,v Sri Lanka,Leeds
1,8,6,0,0,16.66,3,lbw,2,v New Zealand,Manchester
120,179,125,14,1,96,3,caught,1,v West Indies,Port of Spain
114,127,99,14,0,115.15,3,not out,2,v West Indies,Port of Spain
51,88,63,6,0,80.95,3,bowled,1,v New Zealand,Hamilton
15,31,25,1,0,60,3,bowled,2,v New Zealand,Auckland
9,20,12,0,1,75,3,caught,1,v New Zealand,Mount Maunganui
56,65,60,6,0,93.33,3,caught,1,v England,Pune
